E [keV] 	 mu/rho (tissue)    	 mu/rho (bone)      	 mu/rho (water) 
241.0  	 0.1272875394916675 	 0.1214485055556519 	 0.12847720388877254 
242.0  	 0.1271011637511176 	 0.1212489779356547 	 0.12828914977502603 
243.0  	 0.12691563788644739 	 0.12105064368855128 	 0.1281019519970035 
244.0  	 0.12673095464772746 	 0.12085348820560117 	 0.1279156032659239 
245.0  	 0.12654710687725237 	 0.1206574971339894 	 0.12773009638535948 
246.0  	 0.12636408750797726 	 0.1204626563711105 	 0.12754542424968013 
247.0  	 0.12618188956198703 	 0.12026895205900613 	 0.1273615798425304 
248.0  	 0.12600050614899738 	 0.12007637057895211 	 0.12717855623533741 
249.0  	 0.1258199304648888 	 0.11988489854619121 	 0.12699634658585127 
250.0  	 0.12564015579026985 	 0.11969452280480566 	 0.12681494413671468 
251.0  	 0.12546117548907085 	 0.11950523042272551 	 0.12663434221406242 
252.0  	 0.12528298300716714 	 0.11931700868686945 	 0.12645453422614972 
253.0  	 0.12510557187102997 	 0.11912984509841236 	 0.12627551366200856 
254.0  	 0.12492893568640615 	 0.11894372736817765 	 0.12609727409013158 
255.0  	 0.12475306813702373 	 0.11875864341214877 	 0.1259198091571826 
256.0  	 0.12457796298332477 	 0.11857458134709713 	 0.1257431125867327 
257.0  	 0.12440361406122372 	 0.11839152948632363 	 0.12556717817802326 
258.0  	 0.12423001528089053 	 0.11820947633550824 	 0.12539199980475174 
259.0  	 0.124057160625559 	 0.11802841058866691 	 0.1252175714138836 
260.0  	 0.12388504415035845 	 0.1178483211242109 	 0.12504388702448685 
261.0  	 0.12371365998116877 	 0.11766919700110559 	 0.12487094072658976 
262.0  	 0.12354300231349885 	 0.11749102745512702 	 0.12469872668006166 
263.0  	 0.12337306541138632 	 0.11731380189521168 	 0.1245272391135151 
264.0  	 0.12320384360631972 	 0.11713750989989807 	 0.12435647232322994 
265.0  	 0.12303533129618177 	 0.11696214121385673 	 0.12418642067209837 
266.0  	 0.12286752294421299 	 0.11678768574450629 	 0.12401707858859035 
267.0  	 0.12270041307799583 	 0.1166141335587127 	 0.123848440565739 
268.0  	 0.12253399628845846 	 0.11644147487957024 	 0.12368050116014591 
269.0  	 0.12236826722889785 	 0.11626970008326071 	 0.123513254991005 
270.0  	 0.12220322061402174 	 0.11609879969598955 	 0.12334669673914585 
271.0  	 0.12203885121900875 	 0.11592876439099575 	 0.12318082114609431 
272.0  	 0.12187515387858688 	 0.11575958498563482 	 0.12301562301315187 
273.0  	 0.12171212348612914 	 0.11559125243853098 	 0.12285109720049178 
274.0  	 0.12154975499276652 	 0.11542375784679815 	 0.12268723862627237 
275.0  	 0.12138804340651801 	 0.1152570924433272 	 0.12252404226576755 
276.0  	 0.12122698379143662 	 0.11509124759413748 	 0.12236150315051281 
277.0  	 0.12106657126677121 	 0.11492621479579081 	 0.1221996163674673 
278.0  	 0.12090680100614473 	 0.11476198567286663 	 0.12203837705819204 
279.0  	 0.12074766823674732 	 0.11459855197549668 	 0.1218777804180427 
280.0  	 0.12058916823854404 	 0.11443590557695624 	 0.12171782169537741 
281.0  	 0.12043129634349807 	 0.11427403847131282 	 0.12155849619077945 
282.0  	 0.12027404793480714 	 0.11411294277112782 	 0.12139979925629354 
283.0  	 0.1201174184461553 	 0.11395261070521251 	 0.12124172629467682 
284.0  	 0.11996140336097691 	 0.1137930346164347 	 0.12108427275866268 
285.0  	 0.11980599821173507 	 0.11363420695957589 	 0.1209274341502383 
286.0  	 0.11965119857921287 	 0.11347612029923768 	 0.12077120601993546 
287.0  	 0.11949700009181706 	 0.11331876730779479 	 0.12061558396613344 
288.0  	 0.11934339842489493 	 0.11316214076339517 	 0.12046056363437499 
289.0  	 0.11919038930006266 	 0.11300623354800464 	 0.12030614071669402 
290.0  	 0.11903796848454659 	 0.1128510386454961 	 0.12015231095095594 
291.0  	 0.11888613179053532 	 0.11269654913978011 	 0.11999907012020872 
